pizza_id,pizza_type_id,size,price
bbq ckn_s,bbq_ckn,S,12.75
bbq ckn_m,bbq_ckn,M,16.75
bbq ckn_l,bbq_ckn,L,$20.75
cali ckn_s,cali_ckn,S,12.75
cali_ckn_m,cali_ckn,M,16.75
cali ckn_l,cali_ckn,L,20.75
ckn alfredo_s,ckn_alfredo,S,12.75
ckn alfredo_m,ckn_alfredo,M,$16.75
ckn alfredo_l,ckn_alfredo,L,20.75
ckn_pesto s,ckn_pesto,S,12.75
ckn_pesto_m,ckn_pesto,M,16.75
ckn pesto_l,ckn_pesto,L,20.75
southw_ckn_s,southw_ckn,S,12.75
southw_ckn m,southw_ckn,M,$16.75
southw_ckn l,southw_ckn,L,20.75
thai_ckn_s,thai_ckn,S,$12.75
thai_ckn_m,thai_ckn,M,16.75
thai_ckn_l,thai_ckn,L,20.75
big_meat_s,big_meat,S,12.0
big meat_m,big_meat,M,$16.0
big meat_l,big_meat,L,$20.5
classic dlx_s,classic_dlx,S,$12.0
classic_dlx m,classic_dlx,M,$16.0
classic_dlx l,classic_dlx,L,$20.5
hawaiian s,hawaiian,S,10.5
hawaiian_m,hawaiian,M,13.25
hawaiian l,hawaiian,L,16.5
ital cpcllo_s,ital_cpcllo,S,$12.0
ital cpcllo_m,ital_cpcllo,M,16.0
ital cpcllo_l,ital_cpcllo,L,20.5
napolitana s,napolitana,S,12.0
napolitana m,napolitana,M,16.0
napolitana l,napolitana,L,20.5
pep msh_pep_s,pep_msh_pep,S,11.0
pep_msh_pep m,pep_msh_pep,M,$14.5
pep msh_pep_l,pep_msh_pep,L,$17.5
pepperoni_s,pepperoni,S,9.75
pepperoni m,pepperoni,M,12.5
pepperoni l,pepperoni,L,$15.25
the greek_s,the_greek,S,12.0
the_greek_m,the_greek,M,16.0
the_greek_l,the_greek,L,20.5
the greek_xl,the_greek,XL,25.5
the greek_xxl,the_greek,XXL,$35.95
brie_carre s,brie_carre,S,$23.65
calabrese s,calabrese,S,$12.25
calabrese m,calabrese,M,16.25
calabrese l,calabrese,L,$20.25
ital supr_s,ital_supr,S,12.5
ital supr_m,ital_supr,M,16.5
ital_supr l,ital_supr,L,20.75
peppr_salami s,peppr_salami,S,$12.5
peppr salami_m,peppr_salami,M,$16.5
peppr salami_l,peppr_salami,L,20.75
prsc argla_s,prsc_argla,S,12.5
prsc_argla_m,prsc_argla,M,16.5
prsc_argla_l,prsc_argla,L,20.75
sicilian s,sicilian,S,$12.25
sicilian_m,sicilian,M,16.25
sicilian l,sicilian,L,$20.25
soppressata s,soppressata,S,12.5
soppressata_m,soppressata,M,16.5
soppressata l,soppressata,L,$20.75
spicy_ital s,spicy_ital,S,$12.5
spicy_ital_m,spicy_ital,M,16.5
spicy_ital l,spicy_ital,L,20.75
spinach supr_s,spinach_supr,S,$12.5
spinach supr_m,spinach_supr,M,$16.5
spinach supr_l,spinach_supr,L,20.75
five_cheese_s,five_cheese,S,12.5
five cheese_m,five_cheese,M,15.5
five_cheese_l,five_cheese,L,18.5
four_cheese_s,four_cheese,S,$11.75
four_cheese m,four_cheese,M,$14.75
four_cheese l,four_cheese,L,17.95
green_garden_s,green_garden,S,$12.0
green_garden_m,green_garden,M,16.0
green garden_l,green_garden,L,$20.25
ital_veggie_s,ital_veggie,S,12.75
ital_veggie m,ital_veggie,M,16.75
ital_veggie_l,ital_veggie,L,$21.0
mediterraneo s,mediterraneo,S,$12.0
mediterraneo_m,mediterraneo,M,$16.0
mediterraneo l,mediterraneo,L,$20.25
mexicana s,mexicana,S,12.0
mexicana m,mexicana,M,16.0
mexicana_l,mexicana,L,20.25
spin_pesto_s,spin_pesto,S,12.5
spin_pesto_m,spin_pesto,M,16.5
spin_pesto_l,spin_pesto,L,$20.75
spinach_fet_s,spinach_fet,S,12.0
spinach_fet_m,spinach_fet,M,$16.0
spinach fet_l,spinach_fet,L,20.25
veggie veg_s,veggie_veg,S,12.0
veggie_veg_m,veggie_veg,M,$16.0
veggie veg_l,veggie_veg,L,20.25
